Year,White,African American,Asian,Hispanic,American Indian,Pacific Islander,Two or More Races,Not Specified,Total,# Students,Full-time Teachers,Student/Teacher ratio,% Free/Discounted Lunch,Avg Standard Score,Statewide Rank,Total # Ranked High Schools,TX State Percentile,SchoolDigger Rating,High School,Unnamed: 0,Unnamed: 1,Unnamed: 2
2001,67.0,619.0,5.0,690.0,2.0,,,0.0,1383.0,1383.0,81.8,16.9,60.3,,,,,,Austin Reagan-Northeast,,,
2002,39.0,510.0,8.0,720.0,2.0,,,0.0,1279.0,1279.0,79.3,16.1,66.1,,,,,,Austin Reagan-Northeast,,,
2003,39.0,510.0,8.0,720.0,2.0,,,0.0,1279.0,1279.0,79.3,16.1,66.1,,,,,,Austin Reagan-Northeast,,,
2004,38.0,425.0,5.0,667.0,1.0,,,0.0,1136.0,1136.0,81.7,13.9,70.9,9.38,1352,1427.0,0.053,,Austin Reagan-Northeast,,,
2005,31.0,340.0,9.0,661.0,1.0,,,0.0,1042.0,1042.0,77.0,13.5,63.2,12.73,1322,1429.0,0.075,,Austin Reagan-Northeast,,,
2006,20.0,342.0,7.0,640.0,0.0,,,0.0,1009.0,1009.0,74.0,13.6,61.7,8.87,1343,1430.0,0.061,,Austin Reagan-Northeast,,,
2007,19.0,321.0,3.0,625.0,0.0,,,0.0,968.0,968.0,74.7,13.0,83.5,8.76,1407,1497.0,0.06,,Austin Reagan-Northeast,,,
2008,19.0,280.0,4.0,636.0,1.0,,,0.0,940.0,940.0,79.2,11.9,80.2,6.27,1444,1510.0,0.044,,Austin Reagan-Northeast,,,
2009,19.0,258.0,4.0,640.0,0.0,,,0.0,921.0,921.0,77.8,11.8,82.2,12.38,1432,1539.0,0.07,,Austin Reagan-Northeast,,,
2010,23.0,234.0,3.0,648.0,2.0,,,0.0,910.0,910.0,75.7,12.0,88.1,25.6,1394,1568.0,0.111,,Austin Reagan-Northeast,,,
2011,17.0,198.0,7.0,619.0,4.0,0.0,4.0,0.0,849.0,849.0,79.2,10.7,89.2,27.05,1466,1672.0,0.123,,Austin Reagan-Northeast,,,
2012,21.0,202.0,17.0,722.0,2.0,0.0,6.0,0.0,970.0,970.0,69.9,13.8,90.1,17.48,1433,1603.0,0.106,,Austin Reagan-Northeast,,,
2013,15.0,217.0,23.0,762.0,1.0,0.0,4.0,0.0,1022.0,1022.0,80.3,12.7,87.4,23.08,1390,1652.0,0.159,,Austin Reagan-Northeast,,,
2014,26.0,243.0,36.0,825.0,2.0,0.0,9.0,0.0,1141.0,1141.0,79.9,14.2,88.0,39.43,1176,1734.0,0.322,,Austin Reagan-Northeast,,,
2015,34.0,240.0,29.0,919.0,1.0,0.0,6.0,0.0,1229.0,1229.0,83.0,14.8,82.3,33.06,1316,1743.0,0.245,,Austin Reagan-Northeast,,,
2016,38.0,211.0,38.0,1002.0,2.0,0.0,11.0,0.0,1302.0,1302.0,88.0,14.7,79.9,37.84,1225,1762.0,0.305,,Austin Reagan-Northeast,,,
2017,43.0,190.0,36.0,977.0,1.0,0.0,8.0,0.0,1255.0,1255.0,94.3,13.3,81.2,21.18,1426,1777.0,0.198,,Austin Reagan-Northeast,,,
2018,36.0,190.0,31.0,984.0,2.0,0.0,9.0,0.0,1252.0,1252.0,88.6,14.1,83.9,25.31,1375,1797.0,0.235,,Austin Reagan-Northeast,,,
2019,28.0,159.0,26.0,903.0,1.0,0.0,5.0,0.0,1122.0,1122.0,85.7,13.0,88.3,24.76,1439,1857.0,0.225,,Austin Reagan-Northeast,,,
2020,30.0,162.0,20.0,913.0,2.0,0.0,12.0,0.0,1139.0,1139.0,75.2,15.1,91.2,13.22,1623,1861.0,0.128,,Austin Reagan-Northeast,,,
1988,853.0,273.0,48.0,802.0,5.0,,,0.0,1981.0,1981.0,108.0,18.3,,,,,,,Austin Travis,,,
1989,464.0,140.0,34.0,708.0,8.0,,,0.0,1354.0,1354.0,,,,,,,,,Austin Travis,,,
1990,422.0,119.0,21.0,766.0,6.0,,,0.0,1334.0,1334.0,88.0,15.1,,,,,,,Austin Travis,,,
1991,427.0,97.0,18.0,757.0,3.0,,,0.0,1302.0,1302.0,88.2,14.7,,,,,,,Austin Travis,,,
1992,427.0,110.0,16.0,780.0,2.0,,,0.0,1335.0,1335.0,80.0,16.6,30.5,,,,,,Austin Travis,,,
1993,427.0,126.0,19.0,852.0,4.0,,,0.0,1428.0,1428.0,82.0,17.4,42.2,,,,,,Austin Travis,,,
1994,442.0,163.0,21.0,876.0,6.0,,,0.0,1508.0,1508.0,85.3,17.7,37.0,,,,,,Austin Travis,,,
1995,331.0,162.0,21.0,1059.0,6.0,,,0.0,1579.0,1579.0,82.0,19.3,41.6,,,,,,Austin Travis,,,
1996,331.0,162.0,21.0,1059.0,6.0,,,0.0,1579.0,1579.0,82.0,19.3,41.6,,,,,,Austin Travis,,,
1997,313.0,165.0,31.0,1134.0,7.0,,,0.0,1650.0,1650.0,83.7,19.7,44.3,,,,,,Austin Travis,,,
1998,297.0,188.0,28.0,1221.0,5.0,,,0.0,1739.0,1739.0,83.5,20.8,45.2,,,,,,Austin Travis,,,
1999,287.0,175.0,32.0,1275.0,6.0,,,0.0,1775.0,1775.0,84.7,21.0,53.2,,,,,,Austin Travis,,,
2000,250.0,175.0,23.0,1235.0,6.0,,,0.0,1689.0,1689.0,99.2,17.0,46.2,,,,,,Austin Travis,,,
2001,204.0,179.0,16.0,1291.0,4.0,,,0.0,1694.0,1694.0,100.6,16.8,54.2,,,,,,Austin Travis,,,
2002,142.0,157.0,13.0,1391.0,2.0,,,0.0,1705.0,1705.0,101.7,16.8,68.9,,,,,,Austin Travis,,,
2003,142.0,157.0,13.0,1391.0,2.0,,,0.0,1705.0,1705.0,101.7,16.8,68.9,,,,,,Austin Travis,,,
2004,134.0,158.0,12.0,1313.0,2.0,,,0.0,1619.0,1619.0,109.2,14.8,74.7,21.8,1263,1427.0,0.115,,Austin Travis,,,
2005,124.0,185.0,8.0,1328.0,3.0,,,0.0,1648.0,1648.0,116.2,14.2,61.5,15.4,1304,1429.0,0.087,,Austin Travis,,,
2006,104.0,202.0,12.0,1233.0,4.0,,,0.0,1555.0,1555.0,109.1,14.3,60.5,18.84,1270,1430.0,0.112,,Austin Travis,,,
2007,84.0,210.0,12.0,1181.0,2.0,,,0.0,1489.0,1489.0,111.6,13.3,80.0,12.7,1382,1497.0,0.077,,Austin Travis,,,
2008,81.0,196.0,9.0,1262.0,2.0,,,0.0,1550.0,1550.0,111.5,13.9,78.0,21.01,1341,1510.0,0.112,,Austin Travis,,,
2009,63.0,176.0,15.0,1163.0,2.0,,,0.0,1419.0,1419.0,113.4,12.5,83.4,29.12,1306,1539.0,0.151,,Austin Travis,,,
2010,65.0,154.0,15.0,1109.0,1.0,,,0.0,1344.0,1344.0,107.1,12.5,78.7,34.65,1301,1568.0,0.17,,Austin Travis,,,
2011,57.0,121.0,22.0,1136.0,9.0,0.0,17.0,0.0,1362.0,1362.0,106.6,12.7,88.0,38.0,1335,1672.0,0.202,,Austin Travis,,,
2012,57.0,137.0,21.0,1225.0,15.0,0.0,15.0,0.0,1470.0,1470.0,98.6,14.8,87.3,18.72,1418,1603.0,0.115,,Austin Travis,,,
2013,40.0,137.0,24.0,1135.0,10.0,1.0,11.0,0.0,1358.0,1358.0,106.3,12.7,88.8,26.83,1337,1652.0,0.191,,Austin Travis,,,
2014,53.0,138.0,21.0,1195.0,4.0,0.0,6.0,0.0,1417.0,1417.0,103.6,13.6,85.1,26.91,1387,1734.0,0.2,,Austin Travis,,,
2015,48.0,121.0,16.0,1133.0,1.0,0.0,10.0,0.0,1329.0,1329.0,104.0,12.7,85.6,36.49,1252,1743.0,0.282,,Austin Travis,,,
2016,47.0,113.0,17.0,1103.0,2.0,0.0,9.0,0.0,1291.0,1291.0,104.0,12.4,82.0,43.54,1117,1762.0,0.366,,Austin Travis,,,
2017,52.0,126.0,24.0,1115.0,3.0,0.0,12.0,0.0,1332.0,1332.0,102.1,13.0,77.3,30.49,1237,1777.0,0.304,,Austin Travis,,,
2018,60.0,116.0,23.0,1027.0,0.0,0.0,7.0,0.0,1233.0,1233.0,105.7,11.6,77.4,31.61,1243,1797.0,0.308,,Austin Travis,,,
2019,63.0,110.0,19.0,1047.0,1.0,0.0,9.0,0.0,1249.0,1249.0,98.0,12.7,79.3,21.31,1512,1857.0,0.186,,Austin Travis,,,
2020,70.0,103.0,18.0,976.0,2.0,2.0,10.0,0.0,1181.0,1181.0,84.9,13.8,80.8,17.08,1557,1861.0,0.163,,Austin Travis,,,
